/* DATA DESCRIPTION:
THIS IS PRELIMINARY RAW DATA! DO NOT USE IN PUBLICATIONS!
FOR PUBLICATIONS VISIT WWW.PANGAEA.DE TO FIND THE VALIDATED DATASET!
Institution: Alfred Wegener Institut, Helmholtz Center for Polar and Marine Research
Station name: DBLK
WMO ID: 00067
PI: Holger Schmithüsen [holger.schmithuesen@awi.de]
Operator: Alina Herzog
Cruise: PS116


Coverage:	LATITUDE: 40.81954 * LONGITUDE: -11.52920
	DATE/TIME START: 2018-11-15T11:24:25 * DATE/TIME END: 2018-11-15T13:16:33
	MINIMUM ALTITUDE: 10m * MAXIMUM ALTITUDE: 33735m
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
10	1012.85	16.40	91.0	101	6.6
22	1011.44	16.50	92.5	 83	4.7
23	1011.26	16.52	92.7	 75	4.2
24	1011.24	16.44	93.1	 75	4.2
24	1011.20	16.37	92.7	 79	4.3
26	1010.90	16.40	91.9	 84	4.5
32	1010.25	16.34	91.6	 89	4.7
37	1009.55	16.26	91.6	 92	5.0
41	1009.03	16.22	91.5	 94	5.2
47	1008.48	16.18	91.7	 97	5.4
53	1007.93	16.13	91.8	 99	5.6
56	1007.38	16.08	92.1	100	5.8
62	1006.83	16.04	92.4	102	6.0
65	1006.29	15.99	92.6	103	6.2
70	1005.77	15.94	92.6	104	6.3
75	1005.26	15.90	92.6	105	6.5
79	1004.76	15.86	92.5	105	6.6
83	1004.27	15.83	92.4	106	6.8
87	1003.78	15.80	92.7	106	6.9
90	1003.28	15.76	93.1	107	7.0
94	1002.77	15.72	93.5	107	7.1
98	1002.24	15.69	93.9	107	7.2
104	1001.69	15.65	94.3	107	7.3
109	1001.14	15.59	94.4	107	7.3
115	1000.57	15.54	94.4	107	7.4
121	1000.01	15.50	94.3	107	7.4
123	999.43	15.48	94.4	107	7.4
126	998.83	15.45	94.7	107	7.4
132	998.22	15.40	94.9	107	7.4
138	997.57	15.34	95.2	106	7.4
145	996.89	15.27	95.4	106	7.4
151	996.21	15.22	95.2	106	7.4
158	995.52	15.17	94.7	106	7.4
165	994.85	15.12	94.3	106	7.3
170	994.21	15.09	93.9	106	7.3
174	993.59	15.07	93.6	105	7.3
179	992.99	15.05	93.7	105	7.2
183	992.42	15.01	94.0	105	7.2
188	991.85	14.98	93.9	105	7.2
192	991.29	14.94	93.0	104	7.2
198	990.74	14.93	91.0	104	7.1
205	990.19	14.98	88.0	104	7.1
208	989.67	15.07	85.4	103	7.1
213	989.16	15.11	84.1	103	7.1
215	988.66	15.14	83.6	103	7.1
218	988.17	15.18	83.4	102	7.0
224	987.67	15.20	83.2	102	7.1
228	987.16	15.21	83.0	102	7.1
232	986.64	15.21	82.6	101	7.1
239	986.12	15.27	82.2	101	7.1
242	985.60	15.33	81.7	101	7.1
248	985.08	15.34	81.2	100	7.2
252	984.56	15.34	80.8	100	7.2
255	984.06	15.33	80.9	100	7.2
259	983.55	15.34	81.0	 99	7.3
262	983.03	15.35	80.9	 99	7.3
268	982.51	15.36	80.5	 99	7.3
274	981.98	15.37	80.1	 98	7.4
278	981.44	15.37	79.6	 98	7.4
282	980.91	15.39	79.0	 98	7.5
287	980.37	15.43	78.5	 98	7.5
292	979.85	15.45	78.1	 97	7.5
297	979.33	15.47	77.7	 97	7.5
302	978.82	15.49	77.4	 97	7.5
306	978.32	15.49	77.2	 97	7.6
309	977.82	15.48	77.2	 97	7.6
312	977.32	15.48	77.1	 97	7.5
316	976.80	15.50	76.6	 96	7.5
321	976.28	15.54	75.9	 96	7.5
328	975.74	15.60	75.0	 96	7.5
332	975.19	15.61	74.4	 96	7.4
337	974.63	15.59	74.3	 96	7.4
342	974.08	15.55	74.5	 96	7.4
347	973.52	15.51	74.6	 96	7.3
351	972.98	15.48	74.7	 96	7.2
356	972.44	15.43	74.8	 96	7.2
361	971.92	15.39	74.8	 97	7.1
366	971.40	15.35	74.9	 97	7.1
370	970.88	15.32	75.0	 97	7.0
374	970.38	15.28	75.2	 97	6.9
378	969.87	15.25	75.4	 98	6.8
383	969.36	15.21	75.4	 98	6.8
388	968.84	15.18	75.4	 98	6.7
392	968.32	15.16	75.5	 99	6.6
396	967.80	15.14	75.6	 99	6.5
401	967.27	15.11	75.6	100	6.4
406	966.73	15.09	75.6	100	6.4
410	966.19	15.06	75.7	101	6.3
416	965.65	15.03	75.8	101	6.2
421	965.11	15.00	76.0	102	6.2
425	964.57	14.96	76.1	103	6.1
430	964.03	14.93	76.3	103	6.0
435	963.50	14.89	76.6	104	5.9
440	962.98	14.85	76.8	105	5.9
444	962.46	14.82	77.0	105	5.8
448	961.94	14.78	76.9	106	5.8
453	961.43	14.76	77.0	106	5.7
457	960.93	14.74	77.2	107	5.6
462	960.42	14.72	77.5	108	5.6
466	959.92	14.71	77.6	108	5.5
470	959.42	14.69	77.8	109	5.5
475	958.92	14.66	77.9	109	5.4
479	958.42	14.62	78.0	109	5.4
483	957.92	14.60	78.0	110	5.3
488	957.41	14.59	78.0	110	5.3
493	956.90	14.55	78.2	110	5.2
498	956.39	14.51	78.6	110	5.2
501	955.88	14.47	78.9	111	5.2
506	955.37	14.44	79.2	111	5.1
512	954.87	14.41	79.5	111	5.1
516	954.38	14.37	79.5	111	5.0
519	953.88	14.34	79.3	110	5.0
524	953.39	14.31	79.1	110	4.9
527	952.90	14.28	79.0	110	4.9
532	952.39	14.24	79.0	110	4.8
536	951.87	14.21	78.9	109	4.8
540	951.34	14.18	78.8	109	4.7
547	950.80	14.15	78.7	108	4.7
552	950.24	14.12	78.4	108	4.6
557	949.68	14.09	78.1	107	4.6
561	949.11	14.07	77.9	106	4.5
567	948.55	14.05	77.8	106	4.4
572	947.98	14.01	78.1	105	4.4
576	947.41	13.98	78.4	104	4.3
581	946.85	13.95	78.7	103	4.2
588	946.29	13.91	78.9	102	4.1
593	945.75	13.86	78.9	101	4.1
597	945.21	13.82	78.8	 99	4.0
602	944.69	13.79	79.0	 98	3.9
606	944.17	13.75	79.2	 97	3.9
611	943.66	13.71	79.5	 96	3.8
614	943.16	13.67	79.8	 95	3.7
619	942.65	13.64	80.1	 94	3.7
623	942.13	13.60	80.4	 92	3.6
630	941.61	13.55	80.6	 91	3.6
634	941.07	13.51	80.8	 91	3.5
637	940.52	13.47	80.8	 90	3.5
642	939.94	13.43	80.8	 89	3.5
647	939.35	13.38	80.9	 89	3.5
654	938.74	13.33	81.0	 88	3.4
661	938.12	13.29	80.8	 88	3.4
667	937.49	13.27	80.3	 88	3.4
672	936.87	13.24	80.0	 88	3.4
676	936.25	13.20	80.1	 89	3.4
681	935.63	13.15	80.4	 89	3.4
687	935.01	13.10	80.6	 90	3.4
694	934.37	13.06	80.5	 90	3.4
701	933.73	13.02	80.2	 91	3.5
704	933.09	12.99	79.7	 92	3.5
710	932.44	12.96	79.2	 94	3.5
717	931.80	12.95	78.0	 95	3.5
725	931.17	13.02	76.3	 96	3.5
731	930.57	13.09	75.1	 98	3.6
735	930.00	13.11	74.7	 99	3.6
739	929.46	13.11	74.7	100	3.6
742	928.94	13.10	75.0	102	3.6
746	928.43	13.09	75.5	103	3.6
752	927.91	13.08	75.9	105	3.7
756	927.39	13.06	76.0	106	3.7
761	926.86	13.04	75.9	108	3.7
765	926.31	13.01	75.8	109	3.7
771	925.75	12.98	75.6	111	3.7
778	925.19	12.95	75.4	112	3.8
784	924.62	12.92	75.2	114	3.8
788	924.07	12.89	75.0	115	3.8
792	923.53	12.87	75.2	116	3.8
797	923.00	12.85	75.5	117	3.9
801	922.48	12.81	75.8	118	3.9
807	921.96	12.77	76.1	119	3.9
811	921.44	12.72	76.4	120	4.0
816	920.93	12.67	76.6	121	4.0
820	920.42	12.64	76.6	122	4.0
826	919.92	12.59	76.9	122	4.1
831	919.42	12.55	77.3	123	4.1
834	918.91	12.51	77.7	123	4.2
837	918.40	12.47	77.9	123	4.2
843	917.89	12.42	78.1	124	4.3
848	917.37	12.38	78.2	124	4.4
854	916.84	12.33	78.2	124	4.4
858	916.32	12.29	78.4	124	4.5
863	915.80	12.25	78.5	123	4.6
868	915.28	12.21	78.8	123	4.7
872	914.76	12.17	79.2	123	4.7
876	914.24	12.13	79.6	122	4.8
881	913.71	12.08	79.8	122	4.9
886	913.18	12.04	79.9	121	5.0
892	912.66	11.99	80.0	121	5.0
898	912.13	11.93	80.1	120	5.1
902	911.61	11.88	80.1	120	5.2
906	911.09	11.84	80.2	119	5.3
910	910.56	11.79	80.5	119	5.3
915	910.03	11.75	80.9	118	5.4
919	909.47	11.71	81.3	118	5.4
924	908.89	11.66	81.9	117	5.5
931	908.29	11.60	82.3	116	5.5
938	907.69	11.54	82.4	116	5.6
944	907.08	11.48	82.2	115	5.6
948	906.49	11.43	81.9	115	5.7
954	905.91	11.38	82.1	114	5.7
960	905.35	11.32	82.5	114	5.8
964	904.80	11.27	82.9	114	5.8
969	904.27	11.23	83.3	113	5.8
974	903.76	11.18	83.9	113	5.9
979	903.26	11.14	84.6	113	5.9
984	902.78	11.11	84.9	113	5.9
987	902.32	11.07	85.2	113	5.9
992	901.87	11.04	85.6	113	6.0
995	901.43	11.00	86.0	113	6.0
999	901.00	10.97	86.2	113	6.0
1003	900.56	10.93	86.3	113	6.0
1007	900.12	10.90	86.4	113	6.1
1011	899.67	10.87	86.5	113	6.1
1016	899.21	10.83	86.7	114	6.1
1020	898.73	10.78	87.0	114	6.1
1023	898.24	10.75	87.3	115	6.2
1028	897.74	10.70	87.9	115	6.2
1035	897.23	10.66	88.5	116	6.2
1040	896.71	10.63	89.0	117	6.2
1044	896.20	10.60	89.1	117	6.3
1049	895.70	10.56	89.1	118	6.3
1053	895.19	10.52	89.1	119	6.3
1058	894.68	10.48	89.2	120	6.3
1061	894.16	10.45	89.6	121	6.4
1066	893.63	10.41	90.2	122	6.4
1072	893.08	10.37	91.0	123	6.4
1078	892.51	10.31	91.7	124	6.5
1085	891.95	10.26	92.1	125	6.5
1090	891.38	10.22	92.1	126	6.5
1093	890.82	10.18	92.0	127	6.5
1099	890.27	10.12	92.3	128	6.6
1104	889.72	10.07	92.9	129	6.6
1109	889.17	10.02	93.4	130	6.6
1115	888.63	9.97	93.8	131	6.7
1121	888.09	9.92	94.1	131	6.7
1125	887.55	9.88	94.3	132	6.7
1129	887.01	9.84	94.6	133	6.7
1135	886.48	9.79	95.2	134	6.7
1140	885.96	9.74	95.5	134	6.8
1145	885.45	9.69	95.4	135	6.8
1150	884.95	9.66	95.2	135	6.8
1154	884.44	9.62	95.3	136	6.8
1157	883.94	9.58	95.7	136	6.8
1162	883.42	9.54	96.2	136	6.8
1168	882.90	9.49	96.7	137	6.8
1173	882.36	9.44	96.9	137	6.9
1178	881.83	9.40	96.9	137	6.9
1184	881.29	9.34	96.9	137	6.9
1190	880.77	9.30	97.1	137	6.9
1194	880.25	9.26	97.3	136	6.9
1198	879.74	9.21	97.7	136	6.9
1203	879.24	9.17	98.0	136	6.9
1206	878.74	9.13	98.2	135	6.9
1212	878.23	9.09	98.3	135	7.0
1217	877.72	9.04	98.6	135	7.0
1222	877.21	8.99	98.7	134	7.0
1226	876.69	8.96	98.5	134	7.0
1232	876.17	8.92	98.5	133	7.0
1237	875.66	8.87	98.6	133	7.1
1243	875.15	8.82	98.6	132	7.1
1247	874.67	8.78	98.3	132	7.1
1252	874.20	8.74	98.0	131	7.1
1256	873.76	8.71	98.0	131	7.1
1259	873.33	8.68	98.3	130	7.2
1262	872.90	8.65	98.5	130	7.2
1266	872.48	8.62	98.4	130	7.2
1270	872.06	8.60	98.0	129	7.2
1274	871.63	8.57	97.3	129	7.3
1279	871.19	8.55	96.7	129	7.3
1283	870.74	8.53	96.4	128	7.3
1287	870.28	8.51	96.3	128	7.3
1291	869.80	8.49	96.5	128	7.3
1296	869.31	8.46	96.6	128	7.3
1301	868.81	8.43	96.5	128	7.4
1306	868.28	8.40	96.4	127	7.4
1312	867.76	8.36	96.4	127	7.4
1317	867.22	8.33	96.7	127	7.4
1322	866.69	8.30	96.8	127	7.4
1327	866.17	8.27	96.8	127	7.4
1332	865.65	8.23	96.5	127	7.5
1338	865.14	8.19	95.9	127	7.5
1342	864.63	8.16	95.2	126	7.5
1346	864.12	8.14	94.6	126	7.5
1351	863.61	8.12	94.5	126	7.6
1356	863.11	8.10	94.6	126	7.6
1362	862.60	8.07	94.9	126	7.7
1365	862.09	8.04	95.2	126	7.7
1370	861.59	7.99	95.7	126	7.7
1377	861.09	7.94	96.4	126	7.8
1382	860.61	7.91	96.8	126	7.8
1385	860.13	7.88	96.8	126	7.9
1388	859.65	7.85	96.6	126	7.9
1394	859.17	7.81	96.3	126	7.9
1398	858.69	7.77	95.8	126	8.0
1403	858.20	7.74	95.4	126	8.0
1407	857.70	7.71	95.1	126	8.0
1413	857.18	7.67	95.0	126	8.1
1419	856.65	7.64	95.0	126	8.1
1423	856.12	7.61	95.2	126	8.1
1427	855.58	7.57	95.3	127	8.1
1433	855.04	7.54	95.5	127	8.1
1439	854.50	7.49	95.5	127	8.1
1446	853.97	7.45	95.2	127	8.1
1451	853.44	7.43	95.1	127	8.1
1455	852.91	7.41	95.0	127	8.1
1458	852.38	7.38	95.0	127	8.0
1462	851.83	7.35	95.1	127	8.0
1469	851.27	7.30	95.3	128	8.0
1476	850.69	7.25	95.0	128	8.0
1482	850.12	7.20	94.4	128	8.0
1489	849.55	7.17	94.1	128	7.9
1493	849.01	7.14	93.5	128	7.9
1497	848.48	7.12	92.6	129	7.9
1503	847.97	7.11	91.8	129	7.9
1508	847.48	7.11	91.2	129	8.0
1512	847.01	7.10	90.3	129	8.0
1516	846.54	7.10	89.4	130	8.0
1520	846.08	7.09	88.7	130	8.1
1524	845.62	7.07	88.4	130	8.2
1529	845.15	7.04	88.4	131	8.3
1535	844.68	6.99	88.8	131	8.4
1540	844.20	6.95	89.0	131	8.5
1543	843.71	6.92	89.1	132	8.6
1547	843.22	6.88	89.1	132	8.7
1553	842.72	6.83	89.2	132	8.9
1558	842.22	6.79	89.2	132	9.0
1564	841.72	6.75	89.3	133	9.2
1570	841.23	6.70	89.4	133	9.3
1574	840.75	6.66	89.4	133	9.5
1577	840.28	6.62	89.1	133	9.7
1582	839.82	6.60	88.7	133	9.8
1586	839.37	6.58	88.3	134	10.0
1590	838.91	6.57	87.5	134	10.1
1595	838.44	6.58	86.2	134	10.3
1600	837.98	6.59	85.0	134	10.4
1605	837.50	6.58	84.4	134	10.5
1609	837.02	6.55	84.3	134	10.6
1614	836.54	6.52	84.3	134	10.7
1618	836.05	6.48	84.3	134	10.7
1623	835.56	6.45	84.4	134	10.8
1628	835.05	6.41	84.5	134	10.8
1634	834.55	6.36	84.6	134	10.9
1638	834.04	6.31	84.9	134	10.9
1643	833.53	6.26	85.0	134	10.9
1648	833.01	6.22	84.7	135	10.9
1653	832.50	6.20	83.8	135	10.8
1660	832.00	6.22	82.6	135	10.8
1664	831.50	6.23	82.0	135	10.8
1669	831.01	6.21	81.7	135	10.8
1672	830.53	6.19	81.2	135	10.7
1677	830.05	6.17	80.2	136	10.7
1683	829.57	6.18	78.7	136	10.6
1688	829.10	6.19	76.8	136	10.6
1692	828.64	6.24	75.4	136	10.6
1697	828.18	6.26	75.1	137	10.5
1700	827.72	6.25	75.7	137	10.5
1706	827.26	6.24	76.4	137	10.5
1709	826.80	6.23	77.0	138	10.5
1715	826.35	6.21	77.5	138	10.5
1720	825.89	6.19	78.0	138	10.5
1724	825.43	6.18	78.3	139	10.5
1729	824.98	6.19	77.8	139	10.5
1733	824.53	6.20	76.9	139	10.5
1736	824.08	6.21	75.9	139	10.6
1741	823.63	6.21	75.0	140	10.6
1746	823.17	6.22	74.2	140	10.6
1751	822.72	6.22	73.7	140	10.6
1756	822.26	6.20	73.5	140	10.7
1759	821.81	6.17	73.5	140	10.7
1764	821.35	6.15	73.6	140	10.7
1769	820.89	6.11	73.7	140	10.7
1773	820.41	6.08	73.9	140	10.8
1778	819.92	6.05	74.0	140	10.8
1782	819.42	6.01	74.0	140	10.8
1787	818.89	5.96	74.0	140	10.8
1795	818.35	5.90	74.0	140	10.8
1801	817.81	5.85	73.8	140	10.9
1806	817.27	5.80	73.7	140	10.9
1811	816.74	5.76	73.6	140	10.9
1816	816.23	5.71	73.7	141	10.9
1821	815.72	5.67	73.8	141	10.9
1826	815.23	5.63	74.0	141	10.9
1831	814.74	5.59	73.9	141	10.9
1835	814.25	5.56	73.5	141	11.0
1839	813.76	5.53	73.2	141	11.0
1844	813.26	5.49	73.0	141	11.0
1850	812.75	5.45	73.1	142	11.0
1855	812.22	5.40	73.1	142	11.0
1861	811.70	5.36	73.0	142	11.1
1867	811.18	5.31	73.1	143	11.1
1873	810.66	5.26	73.1	143	11.1
1877	810.14	5.22	73.1	144	11.1
1881	809.64	5.19	73.2	144	11.2
1887	809.13	5.15	73.6	144	11.2
1892	808.62	5.09	74.0	145	11.2
1896	808.11	5.05	74.2	145	11.3
1902	807.60	5.01	74.2	146	11.3
1909	807.09	4.95	74.1	146	11.3
1913	806.59	4.91	74.0	147	11.4
1918	806.08	4.88	73.9	147	11.4
1923	805.58	4.84	74.0	148	11.5
1928	805.08	4.80	74.3	148	11.5
1932	804.58	4.77	74.6	149	11.6
1938	804.07	4.74	74.8	149	11.6
1944	803.57	4.69	75.0	149	11.6
1948	803.06	4.65	75.0	150	11.7
1954	802.56	4.59	75.0	150	11.7
1960	802.05	4.55	74.9	150	11.7
1964	801.55	4.52	74.8	150	11.8
1968	801.04	4.48	75.0	151	11.8
1973	800.53	4.44	75.5	151	11.8
1979	800.01	4.39	76.0	151	11.9
1985	799.48	4.33	76.3	151	11.9
1990	798.95	4.30	76.3	151	11.9
1995	798.41	4.26	76.1	151	11.9
2002	797.87	4.22	75.8	151	11.9
2007	797.32	4.18	75.4	151	11.9
2012	796.78	4.15	74.9	151	11.9
2018	796.24	4.12	74.4	152	12.0
2025	795.70	4.09	74.0	152	12.0
2029	795.17	4.07	73.8	152	12.0
2034	794.63	4.04	73.8	152	11.9
2039	794.10	4.00	74.0	151	11.9
2045	793.58	3.97	74.1	151	11.9
2052	793.06	3.93	74.2	151	11.9
2057	792.54	3.90	74.1	151	11.9
2061	792.03	3.88	74.0	151	11.9
2066	791.52	3.84	74.1	151	11.8
2071	791.01	3.79	74.3	151	11.8
2076	790.50	3.74	74.6	151	11.8
2082	789.99	3.70	74.7	152	11.8
2088	789.48	3.64	74.9	152	11.7
2094	788.98	3.60	74.9	152	11.7
2098	788.49	3.56	74.9	152	11.7
2102	788.01	3.52	75.0	152	11.6
2107	787.52	3.48	75.2	152	11.6
2112	787.05	3.43	75.4	152	11.5
2118	786.57	3.40	75.5	152	11.5
2122	786.10	3.37	75.4	153	11.5
2126	785.62	3.33	75.4	153	11.4
2132	785.16	3.30	75.5	153	11.4
2138	784.71	3.26	75.4	154	11.4
2142	784.27	3.24	75.2	154	11.3
2146	783.84	3.22	75.1	154	11.3
2150	783.42	3.18	75.2	155	11.3
2155	783.01	3.15	75.6	155	11.2
2158	782.59	3.12	76.0	156	11.2
2162	782.17	3.09	76.2	156	11.2
2167	781.74	3.06	76.3	157	11.2
2171	781.29	3.04	76.2	157	11.1
2176	780.83	3.01	76.1	158	11.1
2181	780.35	2.97	76.2	158	11.1
2187	779.87	2.92	76.4	159	11.0
2193	779.38	2.87	76.6	159	11.0
2197	778.88	2.84	76.7	160	10.9
2201	778.39	2.80	76.8	160	10.9
2207	777.91	2.76	77.0	161	10.8
2214	777.42	2.74	77.0	161	10.8
2218	776.94	2.73	76.8	162	10.7
2222	776.46	2.72	76.6	162	10.7
2226	775.99	2.69	76.5	162	10.6
2232	775.51	2.66	76.4	163	10.6
2237	775.03	2.62	76.3	163	10.5
2242	774.55	2.59	76.0	164	10.5
2247	774.06	2.56	75.8	164	10.4
2250	773.58	2.54	75.7	164	10.4
2258	773.09	2.51	75.9	165	10.3
2264	772.61	2.47	76.2	165	10.3
2268	772.13	2.42	76.4	165	10.3
2273	771.68	2.38	76.1	165	10.2
2279	771.24	2.35	75.7	165	10.2
2281	770.81	2.32	75.2	165	10.2
2285	770.39	2.29	75.1	165	10.2
2290	769.97	2.25	75.4	165	10.2
2294	769.55	2.21	75.8	165	10.2
2298	769.12	2.17	75.9	164	10.2
2303	768.68	2.13	75.9	164	10.2
2309	768.24	2.10	75.8	163	10.2
2313	767.78	2.08	75.4	163	10.2
2317	767.33	2.07	75.0	162	10.2
2323	766.87	2.05	74.9	162	10.1
2329	766.42	2.02	75.1	161	10.1
2332	765.96	1.99	75.2	160	10.1
2336	765.51	1.97	75.0	160	10.1
2342	765.05	1.94	74.9	159	10.0
2346	764.60	1.91	74.9	158	10.0
2352	764.14	1.87	74.7	157	9.9
2358	763.69	1.84	74.4	156	9.9
2362	763.25	1.83	73.8	155	9.8
2365	762.80	1.83	73.1	154	9.8
2369	762.35	1.82	72.6	153	9.7
2374	761.89	1.81	72.5	152	9.6
2380	761.42	1.78	72.3	151	9.5
2385	760.94	1.75	71.7	149	9.4
2391	760.47	1.73	71.0	148	9.4
2396	760.00	1.73	70.4	147	9.3
2401	759.55	1.72	70.1	146	9.2
2407	759.12	1.69	70.2	145	9.1
2411	758.70	1.68	70.1	144	9.0
2414	758.30	1.66	69.9	143	8.9
2417	757.89	1.66	69.6	143	8.8
2420	757.47	1.66	69.4	142	8.8
2424	757.02	1.63	69.5	141	8.7
2429	756.55	1.59	69.4	141	8.6
2436	756.04	1.57	69.0	140	8.5
2445	755.53	1.55	68.4	140	8.5
2450	755.02	1.55	67.9	140	8.4
2456	754.53	1.54	67.5	140	8.4
2459	754.06	1.52	67.4	140	8.3
2464	753.61	1.50	67.5	140	8.2
2468	753.18	1.48	67.7	140	8.2
2473	752.75	1.46	68.2	140	8.1
2476	752.32	1.44	68.5	141	8.1
2479	751.87	1.41	68.7	141	8.0
2485	751.41	1.38	68.8	141	8.0
2492	750.92	1.35	68.5	142	8.0
2498	750.41	1.35	67.4	143	7.9
2502	749.89	1.38	65.5	143	7.9
2509	749.38	1.44	62.9	144	7.9
2516	748.87	1.54	59.4	145	7.8
2521	748.37	1.66	56.2	145	7.8
2525	747.90	1.75	54.2	146	7.8
2530	747.44	1.81	53.0	147	7.7
2535	746.99	1.88	51.7	148	7.7
2539	746.56	1.97	50.0	148	7.7
2543	746.12	2.07	47.8	149	7.7
2547	745.68	2.15	46.2	150	7.7
2552	745.24	2.20	45.4	150	7.7
2559	744.80	2.22	45.0	151	7.7
2564	744.35	2.23	44.6	151	7.7
2569	743.91	2.23	44.1	152	7.7
2573	743.47	2.24	43.7	153	7.7
2577	743.04	2.24	43.4	153	7.7
2581	742.61	2.23	43.3	154	7.7
2586	742.19	2.23	43.0	154	7.7
2591	741.78	2.23	42.9	155	7.7
2597	741.37	2.23	42.9	155	7.7
2601	740.98	2.22	42.9	155	7.7
2604	740.59	2.21	43.0	156	7.7
2608	740.21	2.20	43.1	156	7.7
2612	739.82	2.18	43.1	157	7.7
2616	739.43	2.17	43.0	157	7.8
2620	739.02	2.16	43.0	157	7.8
2625	738.61	2.14	43.0	158	7.8
2629	738.18	2.11	43.0	158	7.9
2635	737.75	2.08	43.2	158	7.9
2640	737.31	2.04	43.3	159	7.9
2644	736.89	2.00	43.5	159	8.0
2650	736.47	1.97	43.6	159	8.0
2655	736.06	1.94	43.7	159	8.1
2659	735.67	1.91	43.7	160	8.2
2662	735.29	1.88	43.8	160	8.3
2665	734.92	1.85	43.9	160	8.3
2670	734.55	1.82	44.0	160	8.4
2673	734.18	1.79	44.2	160	8.5
2678	733.80	1.75	44.4	160	8.6
2682	733.40	1.72	44.6	160	8.7
2686	733.00	1.68	44.8	160	8.8
2691	732.58	1.65	45.1	159	8.9
2695	732.14	1.60	45.5	159	9.1
2701	731.69	1.56	45.9	159	9.2
2706	731.23	1.53	46.2	159	9.3
2712	730.77	1.52	45.9	159	9.4
2717	730.30	1.51	45.4	158	9.5
2722	729.83	1.50	45.0	158	9.6
2727	729.36	1.50	44.6	158	9.7
2732	728.90	1.49	44.4	158	9.8
2738	728.45	1.47	44.1	157	9.9
2742	728.01	1.45	43.8	157	10.0
2749	727.58	1.42	43.7	157	10.1
2753	727.16	1.39	43.8	157	10.2
2757	726.76	1.35	43.9	156	10.3
2760	726.37	1.32	44.1	156	10.3
2763	725.98	1.28	44.5	156	10.4
2768	725.58	1.25	44.8	156	10.4
2773	725.17	1.21	45.0	156	10.5
2779	724.75	1.17	45.0	155	10.5
2783	724.33	1.13	44.9	155	10.5
2788	723.91	1.09	44.9	155	10.5
2792	723.48	1.06	45.1	155	10.5
2798	723.06	1.02	45.2	155	10.5
2803	722.64	0.99	45.3	155	10.5
2806	722.23	0.96	45.1	154	10.5
2810	721.83	0.93	45.1	154	10.5
2815	721.42	0.89	45.3	154	10.5
2819	721.01	0.86	45.5	154	10.4
2825	720.60	0.83	45.5	154	10.4
2828	720.18	0.80	45.4	154	10.4
2833	719.75	0.77	45.2	154	10.3
2838	719.31	0.74	45.1	153	10.3
2844	718.87	0.71	45.1	153	10.3
2849	718.42	0.68	45.0	153	10.2
2854	717.98	0.65	44.9	153	10.2
2859	717.54	0.62	44.9	153	10.2
2864	717.11	0.58	45.0	152	10.1
2869	716.69	0.55	45.3	152	10.1
2873	716.28	0.51	45.6	152	10.1
2877	715.87	0.47	46.0	152	10.0
2881	715.47	0.43	46.3	152	10.0
2886	715.07	0.39	46.5	152	10.0
2891	714.67	0.34	46.7	152	10.0
2896	714.29	0.30	46.9	152	10.0
2900	713.90	0.27	47.0	152	10.0
2904	713.52	0.23	47.3	152	10.0
2907	713.15	0.19	47.9	152	10.0
2912	712.77	0.14	48.4	152	10.0
2916	712.40	0.11	48.6	153	10.0
2920	712.01	0.07	48.7	153	10.0
2923	711.60	0.03	48.9	153	10.0
2928	711.18	-0.01	49.3	153	10.1
2934	710.75	-0.05	49.6	154	10.1
2940	710.31	-0.10	49.8	154	10.1
2945	709.86	-0.14	49.8	154	10.1
2951	709.44	-0.18	49.8	155	10.1
2956	709.03	-0.20	49.6	155	10.2
