polly data, calibrated?, calibration time, depol calibration factor, std of depol calibration factor
2019_08_09_Fri_TAU_00_00_01.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_06_00_01.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_17_28_18.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_00_00_01.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_00_00_01.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_00_00_01.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_00_00_01.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_06_00_01.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_17_28_18.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_20_16_53.nc, 0, -999, 0.120100, 0.000000
2019_08_09_Fri_TAU_00_00_01.nc, 0, -999, 0.120100, 0.000000
