polly data, LC355, LC355Std, Calibration status 355, LC532, LC532Std, Calibration status 532, LC1064, LC1064Std, Calibration status 1064, LC387, LC387Std, Calibration status 387, LC607, LC607Std, Calibration status 607
2019_08_09_Fri_TAU_00_00_01.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_06_00_01.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_17_28_18.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_00_00_01.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_00_00_01.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_00_00_01.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_00_00_01.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_06_00_01.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_17_28_18.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_20_16_53.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
2019_08_09_Fri_TAU_00_00_01.nc, 16893959541573.251953, -999.000000, 3, 28466210203696.203125, -999.000000, 3, 67876166905915.734375, -999.000000, 3, 1.000000, -999.000000, 3, 1.000000, -999.000000, 3
