Name	Location	Start	Starttime	End	Endtime	Long	Lat	asl	v*	dmol	Caption
arielle	Polarstern	20121027	0000	20121126	2359	-27	0	0	0.09	0.0053	, RV Polarstern, Atlantic Ocean
arielle	Meteor	20130428	0000	20130523	2359	-50	20	83	0.09	0.0053	, RV Meteor, Atlantic Ocean
arielle	Melpitz	20130901	0000	20131031	2359	52	13	83	0.094	0.0053	, Melpitz, Germany
arielle	Polarstern	20140308	0000	20140413	2359	-27	0	0	0.09	0.0053	, RV Polarstern, Atlantic Ocean
arielle	Finokalia	20140617	0000	20140723	2359	26	35	245	0.09	0.0053	, Finokalia, Crete, Greece
arielle	Cabauw	20140930	0000	20141119	2359	52	5	-1	0.09	0.0053	, CESAR observatory, Cabauw, the Netherlands
arielle	Leipzig	20150312	0000	20150428	2359	51	12	125	0.09	0.0053	, Leipzig, Germany
arielle	Melpitz	20150429	0000	20150707	2359	52	13	83	0.09	0.0053	, Melpitz, Germany
arielle	Leipzig	20150709	0000	20150930	2359	51	12	125	0.09	0.0053	, Leipzig, Germany
arielle	Polarstern	20151029	0000	20151030	1515	-27	0	11	3.73E-02	0.0108	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20151030	2122	20151031	1515	-27	0	11	1.32E-01	0.01	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20151031	1625	20151106	1906	-27	0	11	1.07E-01	0.01	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20151106	1914	20151110	456	-27	0	11	1.62E-01	0.0098	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20151110	1847	20151112	1920	-27	0	11	1.09E-02	0.0109	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20151112	1930	20151123	1052	-27	0	11	3.31E-02	0.0099	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20151123	1420	20151201	603	-27	0	11	3.10E-01	0.0117	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20160410	1128	20160413	1127	-27	0	24	1.17E-01	0.007	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20160413	1128	20160417	1517	-27	0	24	1.17E-01	0.007	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20160417	1518	20160419	1829	-27	0	24	1.41E-01	0.007	, RV Polarstern, Atlantic Ocean
arielle	Polarstern	20160419	1834	20160511	1352	-27	0	24	1.43E-01	0.0085	, RV Polarstern, Atlantic Ocean
arielle	Leipzig	20160523	0000	20160930	2359	51	12	125	0.14	0.0119	, Leipzig, Germany
arielle	Polarstern	20161110	0000	20161231	0000	-27	0	24	0.14	0.0119	, RV Polarstern, Atlantic Ocean
arielle	Leipzig2	20170101	0000	20170130	0800	51	12	125	0.14	0.0119	, Leipzig, Germany
arielle	Melpitz	20170130	1000	20170317	0900	52	13	83	0.14	0.0119	, Melpitz, Germany
arielle	Leipzig	20170428	1200	20170519	2359	51	12	125	0.14	0.0119	, Leipzig, Germany
arielle	Arctic	20170522	0000	20170731	2359	82	11.5	0	2.28e-2	0.0119	, Polarstern, Arctic
arielle	Leipzig2	20170807	0000	20170814	0800	51	12	125	2.28e-2	0.0119	, Leipzig, Germany
arielle	Kosetice	20170814	1200	20171120	0800	50	15	535	9.67e-2	0.0186	, Kosetice, Czech Republic
arielle	Leipzig	20171124	1200	20180216	1400	51	12	125	9.67e-2	0.0186	, Leipzig, Germany
arielle	Polarstern	20180501	1834	20180610	1352	-27	0	24	9.67e-2	0.0085	, RV Polarstern, Atlantic Ocean
arielle	Leipzig3	20180611	0000	20180916	2359	51	12	125	9.67e-2	0.0186	, Leipzig, Germany
arielle	Leipzig	20180917	0000	20181024	2359	51	12	125	9.67e-2	0.0186	, Leipzig, Germany
arielle	Polarstern	20181025	0000	20181231	1400	-27	0	24	9.67e-2	0.0186	, RV Polarstern, Atlantic Ocean
arielle	Leipzig	20190116	0000	20190201	2359	51	12	125	9.67e-2	0.0186	, Leipzig, Germany
arielle	Davos	20190202	0000	20190319	2359	46.8	9.8	1700	9.67e-2	0.0186	, Davos, Switzerland
arielle	Melpitz	20190320	0000	20190702	2359	52	13	83	0.0392	0.0058	, Melpitz, Germany
arielle	Leipzig	20190703	0000	20991024	2359	52	13	83	0.0411	0.0058	, Leipzig, Germany
PollyXT_LACROS	Leipzig2	20160923	0000	20161010	2359	51	12	125	0.14	0.0119	, Leipzig, Germany
PollyXT_LACROS	Cyprus	20161017	0000	20170314	2359	35	33	1	0.061	0.0087	, Limassol, Cyprus
PollyXT_LACROS	Cyprus	20170315	0000	20180327	2359	35	33	1	0.022	0.0087	, Limassol, Cyprus
PollyXT_LACROS	Leipzig	20180427	1401	20180916	2359	51	12	125	0.022	0.0087	, Leipzig, Germany
PollyXT_LACROS	Punta_Arenas	20181123	0000	20990916	2359	-53	-71	0	0.022	0.0087	, Punta Arenas, Chile
PollyXT_CGE	Evora	20090501	0000	20990101	2359	39	-8	290	0	0.0053	, Evora, Portugal
